date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:53:55	8304/8304	---MCZ	200	added ('OK')	text/css	etag:W/%222070-16b26fe50a8%22	https://bot.emirkabal.com/altyapi/css/responsive.css	/storage/emulated/0/HTTrack/Websites/kabals/bot.emirkabal.com/altyapi/css/responsive.css	(from https://bot.emirkabal.com/komutlar)
01:53:55	50419/50419	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c4f3-5a0f79274c765%22	http://cdn.sendpulse.com/js/push/27f578ccda984d671390d47e12a598f0_1.js	/storage/emulated/0/HTTrack/Websites/kabals/cdn.sendpulse.com/js/push/27f578ccda984d671390d47e12a598f0_1.js	(from https://bot.emirkabal.com/komutlar)
01:53:59	7318/7318	---M--	200	added ('OK')	image/png	etag:W/%221c96-16b26fe50d3%22	https://bot.emirkabal.com/altyapi/img/logo.png	/storage/emulated/0/HTTrack/Websites/kabals/bot.emirkabal.com/altyapi/img/logo.png	(from https://bot.emirkabal.com/komutlar)
01:54:02	110318/110318	---MC-	200	added ('OK')	text/javascript	date:Wed,%2001%20Apr%202020%2022:53:57%20GMT	http://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js	/storage/emulated/0/HTTrack/Websites/kabals/pagead2.googlesyndication.com/pagead/js/f.txt	(from https://bot.emirkabal.com/komutlar)
01:54:02	6593/6593	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Apr%202020%2022:53:59%20GMT	https://bot.emirkabal.com/panel	/storage/emulated/0/HTTrack/Websites/kabals/bot.emirkabal.com/panel.html	(from https://bot.emirkabal.com/komutlar)
01:54:02	12593/12593	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Apr%202020%2022:54:01%20GMT	https://bot.emirkabal.com/irtibat	/storage/emulated/0/HTTrack/Websites/kabals/bot.emirkabal.com/irtibat.html	(from https://bot.emirkabal.com/komutlar)
01:54:02	244/244	---MC-	302	error ('Found')	text/html	date:Wed,%2001%20Apr%202020%2022:54:03%20GMT	https://bot.emirkabal.com/ekle	/storage/emulated/0/HTTrack/Websites/kabals/bot.emirkabal.com/ekle.e.delayed	(from https://bot.emirkabal.com/komutlar)
01:54:03	3048/3048	---M--	200	added ('OK')	image/png	date:Wed,%2001%20Apr%202020%2022:54:04%20GMT	https://images.dmca.com/Badges/dmca-badge-w100-5x1-10.png?ID=0db1647a-d582-4d6a-914b-1a852d9cb3c6	/storage/emulated/0/HTTrack/Websites/kabals/images.dmca.com/Badges/dmca-badge-w100-5x1-100293.png	(from https://bot.emirkabal.com/komutlar)
01:54:04	465/465	---M-Z	200	added ('OK')	application/javascript	etag:%2226b181f16d28d51:0%22	https://images.dmca.com/Badges/DMCABadgeHelper.min.js	/storage/emulated/0/HTTrack/Websites/kabals/images.dmca.com/Badges/DMCABadgeHelper.min.js	(from https://bot.emirkabal.com/komutlar)
01:54:06	718/718	---MCZ	200	added ('OK')	application/javascript	etag:W/%222ce-16d79f9db56%22	https://bot.emirkabal.com/altyapi/js/f4s5r84.js	/storage/emulated/0/HTTrack/Websites/kabals/bot.emirkabal.com/altyapi/js/f4s5r84.js	(from https://bot.emirkabal.com/komutlar)
